0,miniature_pinscher_127
1,Egyptian_Mau_144
2,scottish_terrier_5
3,scottish_terrier_93
4,yorkshire_terrier_100
5,boxer_197
6,keeshond_94
7,Bombay_125
8,Bengal_32
9,Russian_Blue_75
10,english_setter_71
11,wheaten_terrier_26
12,great_pyrenees_107
13,British_Shorthair_278
14,english_setter_21
15,Abyssinian_80
16,Bombay_127
17,newfoundland_79
18,British_Shorthair_117
19,havanese_93
20,keeshond_7
21,British_Shorthair_46
22,great_pyrenees_172
23,samoyed_105
24,great_pyrenees_74
25,pomeranian_47
26,Persian_2
27,Bengal_153
28,beagle_163
29,British_Shorthair_269
30,Birman_159
31,leonberger_68
32,samoyed_181
33,beagle_193
34,leonberger_38
35,Sphynx_15
36,keeshond_155
37,keeshond_1
38,beagle_123
39,newfoundland_68
40,beagle_200
41,beagle_38
42,British_Shorthair_110
43,pomeranian_39
44,British_Shorthair_25
45,saint_bernard_25
46,keeshond_41
47,american_bulldog_97
48,pug_104
49,yorkshire_terrier_14
50,samoyed_106
51,Bombay_145
52,english_cocker_spaniel_52
53,american_bulldog_118
54,beagle_202
55,British_Shorthair_135
56,Birman_200
57,Russian_Blue_119
58,pug_58
59,samoyed_19
60,staffordshire_bull_terrier_143
61,english_setter_42
62,yorkshire_terrier_168
63,Ragdoll_125
64,Birman_124
65,wheaten_terrier_79
66,Maine_Coon_75
67,leonberger_27
68,Bombay_85
69,pug_14
70,chihuahua_186
71,staffordshire_bull_terrier_59
72,beagle_32
73,Maine_Coon_78
74,Bengal_89
75,Russian_Blue_9
76,miniature_pinscher_85
77,Ragdoll_191
78,British_Shorthair_97
79,wheaten_terrier_140
80,Bengal_5
81,Siamese_247
82,english_setter_84
83,yorkshire_terrier_192
84,Abyssinian_95
85,Birman_61
86,havanese_39
87,Ragdoll_6
88,american_bulldog_93
89,Russian_Blue_145
90,english_cocker_spaniel_196
91,samoyed_151
92,newfoundland_99
93,Persian_77
94,japanese_chin_54
95,chihuahua_55
96,havanese_180
97,pomeranian_122
98,leonberger_22
99,pomeranian_128
